EST_count,EXT_count,OPN_count,AGR_count,CSN_count
0.475075342,0.686329727,0.007015464,0.062645126,0
0.940467368,1.331851193,0.0105726,0.110172422,0
1.584407885,2.177461588,0.018674967,0.186453238,9.88E-05
2.371523146,3.187589546,0.02875352,0.277160219,9.88E-05
3.625809002,4.59354775,0.053554666,0.440195643,9.88E-05
4.972481597,6.103058149,0.079146287,0.609357245,0.001185712
6.675065461,7.921150141,0.125389062,0.82970209,0.027567808
8.583963243,9.900696606,0.174793735,1.083246875,0.0560249
11.04322909,12.213527,0.533965713,1.428980782,0.109283138
13.54616867,14.6722988,0.644236945,1.817894373,0.193962749
16.49552888,17.4894521,0.806086656,2.323501803,0.368855294
19.57897337,20.35749222,1.024554123,2.900548392,0.598685836
23.06476953,23.60476261,1.371967788,3.651301813,0.947878069
26.62832864,26.89294007,1.7441826,4.501556247,1.402993923
30.47418606,30.39711477,2.279531644,5.772540882,2.055432044
34.34099106,33.94496319,2.9386888,6.91744479,2.869127019
38.5042241,37.74892545,3.893483524,8.342473198,3.966306013
42.60619535,41.52798775,5.018823181,9.897633516,5.307445284
46.8763401,45.50308779,6.558569241,11.77491231,7.04471123
51.02089818,49.35951781,8.419050442,13.88380021,9.041351712
55.39400227,53.81374438,10.94115903,16.50471815,11.75732424
59.46277358,57.64626254,13.69714935,19.31525122,14.56252161
63.52946989,61.5697841,17.06743738,22.57684897,17.8753026
67.3477595,65.20211452,20.77762956,26.13536881,21.45397955
71.17889432,68.85479966,25.06615286,30.27686379,25.49735685
74.64423694,72.24040314,29.61078998,34.64156909,29.80465392
78.04644039,75.56415197,34.71686182,39.44024505,34.60471321
81.11980633,78.60738106,40.06116299,44.59453584,39.40082012
84.04950348,81.63183637,45.93468702,50.17222469,44.44721111
86.56281804,84.33318512,51.67807915,55.7050541,49.45101527
88.89412578,86.909046,57.7252112,61.54715676,54.6902821
90.84808063,89.1522158,63.51662467,67.067635,59.57600909
92.71972729,91.23936564,69.34360951,72.53722642,64.46143965
94.19732227,93.00894225,74.64305123,77.42858554,69.04263623
95.49903661,94.61745961,79.76364804,82.11896645,73.58796502
96.57368707,95.94842152,84.33812559,86.25492812,77.61217331
97.61958401,97.16585149,88.64542266,90.2801245,81.45486883
98.29820661,98.05889037,92.1141248,93.33036905,84.76508078
99.1310706,98.82426758,95.16891458,96.10533076,87.89565733
99.53332345,99.39607727,97.55367818,98.12519144,90.47635986
99.97519885,99.98191789,99.98260955,99.97925004,92.79956524
